id,person,state,district,name,party
134,412286,AZ,2,Ann Kirkpatrick,Democrat
135,412292,MO,3,Blaine Luetkemeyer,Republican
136,412293,NM,3,Ben Luján,Democrat
137,412295,CA,4,Tom McClintock,Republican
138,412302,TX,22,Pete Olson,Republican
139,412307,ME,1,Chellie Pingree,Democrat
140,412309,FL,8,Bill Posey,Republican
141,412310,TN,1,David “Phil” Roe,Republican
142,412315,OR,5,Kurt Schrader,Democrat
143,412317,PA,15,Glenn Thompson,Republican
144,412318,NV,1,Dina Titus,Democrat
145,412319,NY,20,Paul Tonko,Democrat
146,412327,OH,11,Marcia Fudge,Democrat
147,412331,IL,5,Mike Quigley,Democrat
148,412379,CA,27,Judy Chu,Democrat
149,412382,CA,3,John Garamendi,Democrat
150,412385,FL,22,Theodore Deutch,Democrat
151,412388,GA,14,Tom Graves,Republican
152,412393,NY,23,Tom Reed II,Republican
153,412394,AL,2,Martha Roby,Republican
154,412395,AL,5,Mo Brooks,Republican
155,412396,AL,7,Terri Sewell,Democrat
156,412397,AZ,4,Paul Gosar,Republican
157,412399,AZ,6,David Schweikert,Republican
158,412400,AR,1,Eric “Rick” Crawford,Republican
159,412402,AR,3,Steve Womack,Republican
160,412404,CA,37,Karen Bass,Democrat
161,412405,CO,3,Scott Tipton,Republican
162,412410,FL,11,Daniel Webster,Republican
163,412412,FL,24,Frederica Wilson,Democrat
164,412416,GA,7,Rob Woodall,Republican
165,412417,GA,8,Austin Scott,Republican
166,412421,IL,16,Adam Kinzinger,Republican
167,412427,IN,8,Larry Bucshon,Republican
168,412432,LA,2,Cedric Richmond,Democrat
169,412434,MD,1,Andy Harris,Republican
170,412435,MA,9,William Keating,Democrat
171,412437,MI,2,Bill Huizenga,Republican
172,412438,MI,3,Justin Amash,Republican
173,412443,MS,4,Steven Palazzo,Republican
174,412444,MO,4,Vicky Hartzler,Republican
175,412445,MO,7,Billy Long,Republican
176,412460,OH,6,Bill Johnson,Republican
177,412461,OH,15,Steve Stivers,Republican
178,412463,OH,7,Bob Gibbs,Republican
179,412465,PA,16,Mike Kelly,Republican
180,412470,RI,1,David Cicilline,Democrat
181,412472,SC,3,Jeff Duncan,Republican
182,412476,TN,3,Charles “Chuck” Fleischmann,Republican
183,412477,TN,4,Scott DesJarlais,Republican
184,412480,TX,17,Bill Flores,Republican
185,412485,VA,9,Morgan Griffith,Republican
186,412486,WA,3,Jaime Herrera Beutler,Republican
187,412487,WV,1,David McKinley,Republican
188,412488,WI,7,Sean Duffy,Republican
189,412500,NV,2,Mark Amodei,Republican
190,412501,OR,1,Suzanne Bonamici,Democrat
191,412503,KY,4,Thomas Massie,Republican
192,412505,WA,1,Suzan DelBene,Democrat
193,412506,NJ,10,Donald Payne Jr.,Democrat
194,412510,CA,1,Doug LaMalfa,Republican
195,412511,CA,2,Jared Huffman,Democrat
196,412512,CA,7,Ami Bera,Democrat
197,412513,CA,8,Paul Cook,Republican
198,412514,CA,15,Eric Swalwell,Democrat
199,412516,CA,26,Julia Brownley,Democrat
200,412517,CA,29,Tony Cárdenas,Democrat
201,412519,CA,36,Raul Ruiz,Democrat
202,412520,CA,41,Mark Takano,Democrat
203,412521,CA,47,Alan Lowenthal,Democrat
204,412522,CA,51,Juan Vargas,Democrat
205,412523,CA,52,Scott Peters,Democrat
206,412525,FL,3,Ted Yoho,Republican
207,412529,FL,21,Lois Frankel,Democrat
208,412531,GA,9,Doug Collins,Republican
209,412532,HI,2,Tulsi Gabbard,Democrat
210,412534,IL,10,Bradley Schneider,Democrat
211,412536,IL,13,Rodney Davis,Republican
212,412537,IL,17,Cheri Bustos,Democrat
213,412538,IN,2,Jackie Walorski,Republican
214,412539,IN,5,Susan Brooks,Republican
215,412541,KY,6,Garland “Andy” Barr,Republican
216,412543,MA,4,Joseph Kennedy III,Democrat
217,412546,MI,5,Daniel Kildee,Democrat
218,412548,MO,2,Ann Wagner,Republican
219,412550,NC,8,Richard Hudson,Republican
220,412552,NC,11,Mark Meadows,Republican
221,412553,NC,2,George Holding,Republican
222,412557,NH,2,Ann Kuster,Democrat
223,412559,NV,4,Steven Horsford,Democrat
224,412560,NY,6,Grace Meng,Democrat
225,412561,NY,8,Hakeem Jeffries,Democrat
226,412562,NY,18,Sean Maloney,Democrat
227,412563,NY,27,Chris Collins,Republican
228,412564,OH,2,Brad Wenstrup,Republican
229,412565,OH,3,Joyce Beatty,Democrat
230,412566,OH,14,David Joyce,Republican
231,412568,OK,2,Markwayne Mullin,Republican
232,412569,PA,10,Scott Perry,Republican
233,412571,PA,8,Matthew Cartwright,Democrat
234,412572,SC,7,Tom Rice,Republican
235,412574,TX,14,Randy Weber,Republican
236,412576,TX,20,Joaquin Castro,Democrat
237,412578,TX,25,Roger Williams,Republican
238,412579,TX,33,Marc Veasey,Democrat
239,412580,TX,34,Filemon Vela,Democrat
240,412581,UT,2,Chris Stewart,Republican
241,412583,WA,6,Derek Kilmer,Democrat
242,412584,WA,10,Denny Heck,Democrat
243,412585,WI,2,Mark Pocan,Democrat
244,412595,IL,2,Robin Kelly,Democrat
245,412596,MO,8,Jason Smith,Republican
246,412600,MA,5,Katherine Clark,Democrat
247,412601,AL,1,Bradley Byrne,Republican
248,412606,NJ,1,Donald Norcross,Democrat
249,412607,NC,12,Alma Adams,Democrat
250,412608,AL,6,Gary Palmer,Republican
251,412609,AR,2,French Hill,Republican
252,412610,AR,4,Bruce Westerman,Republican
253,412612,AZ,7,Ruben Gallego,Democrat
254,412613,CA,11,Mark DeSaulnier,Democrat
255,412615,CA,31,Pete Aguilar,Democrat
256,412616,CA,33,Ted Lieu,Democrat
257,412617,CA,35,Norma Torres,Democrat
258,412619,CO,4,Ken Buck,Republican
259,412622,GA,1,Buddy Carter,Republican
260,412623,GA,10,Jody Hice,Republican
261,412624,GA,11,Barry Loudermilk,Republican
262,412625,GA,12,Rick Allen,Republican
263,412629,IL,12,Mike Bost,Republican
264,412630,LA,5,Ralph Abraham,Republican
265,412631,LA,6,Garret Graves,Republican
266,412632,MA,6,Seth Moulton,Democrat
267,412634,MI,4,John Moolenaar,Republican
268,412637,MI,12,Debbie Dingell,Democrat
269,412638,MI,14,Brenda Lawrence,Democrat
270,412639,MN,6,Tom Emmer,Republican
271,412641,NC,7,David Rouzer,Republican
272,412644,NJ,12,Bonnie Watson Coleman,Democrat
273,412646,NY,1,Lee Zeldin,Republican
274,412647,NY,4,Kathleen Rice,Democrat
275,412648,NY,21,Elise Stefanik,Republican
276,412649,NY,24,John Katko,Republican
277,412652,PA,2,Brendan Boyle,Democrat
278,412653,TX,4,John Ratcliffe,Republican
279,412654,TX,23,Will Hurd,Republican
280,412655,TX,36,Brian Babin,Republican
281,412657,VA,8,Donald Beyer,Democrat
282,412660,WA,4,Dan Newhouse,Republican
283,412661,WI,6,Glenn Grothman,Republican
284,412662,WV,2,Alex Mooney,Republican
285,412670,NC,6,Mark Walker,Republican
286,412673,MS,1,Trent Kelly,Republican
287,412674,IL,18,Darin LaHood,Republican
288,412675,OH,8,Warren Davidson,Republican
289,412676,KY,1,James Comer,Republican
290,412677,PA,3,Dwight Evans,Democrat
291,412682,AZ,1,Tom O’Halleran,Democrat
292,412683,AZ,5,Andy Biggs,Republican
293,412684,CA,17,Ro Khanna,Democrat
294,412685,CA,20,Jimmy Panetta,Democrat
295,412686,CA,24,Salud Carbajal,Democrat
296,412687,CA,44,Nanette Barragán,Democrat
297,412688,CA,46,Luis Correa,Democrat
298,412689,DE,0,Lisa Blunt Rochester,Democrat
299,412690,FL,1,Matt Gaetz,Republican
300,412691,FL,2,Neal Dunn,Republican
301,412692,FL,4,John Rutherford,Republican
302,412693,FL,5,Al Lawson,Democrat
303,412694,FL,7,Stephanie Murphy,Democrat
304,412695,FL,9,Darren Soto,Democrat
305,412696,FL,10,Val Demings,Democrat
306,412697,FL,13,Charlie Crist,Democrat
307,412698,FL,18,Brian Mast,Republican
308,412699,FL,19,Francis Rooney,Republican
309,412700,GA,3,Drew Ferguson IV,Republican
310,412701,IL,8,Raja Krishnamoorthi,Democrat
311,412702,IN,3,Jim Banks,Republican
312,412703,IN,9,Trey Hollingsworth,Republican
313,412704,KS,1,Roger Marshall,Republican
314,412705,LA,3,Clay Higgins,Republican
315,412706,LA,4,Mike Johnson,Republican
316,412707,MD,4,Anthony Brown,Democrat
317,412708,MD,8,Jamie Raskin,Democrat
318,412709,MI,1,Jack Bergman,Republican
319,412710,MI,10,Paul Mitchell,Republican
320,412712,NC,13,Ted Budd,Republican
321,412713,NE,2,Don Bacon,Republican
322,412714,NJ,5,Josh Gottheimer,Democrat
323,412717,NY,3,Thomas Suozzi,Democrat
324,412718,NY,13,Adriano Espaillat,Democrat
325,412721,PA,1,Brian Fitzpatrick,Republican
326,412722,PA,11,Lloyd Smucker,Republican
327,412724,TN,8,David Kustoff,Republican
328,412725,TX,15,Vicente Gonzalez,Democrat
329,412726,TX,19,Jodey Arrington,Republican
330,412728,VA,4,Donald McEachin,Democrat
331,412730,WA,7,Pramila Jayapal,Democrat
332,412731,WI,8,Mike Gallagher,Republican
333,412732,WY,0,Liz Cheney,Republican
334,412735,KS,4,Ron Estes,Republican
335,412736,MT,0,Greg Gianforte,Republican
336,412738,SC,5,Ralph Norman Jr.,Republican
337,412739,CA,34,Jimmy Gomez,Democrat
338,412740,UT,3,John Curtis,Republican
339,412744,PA,17,Conor Lamb,Democrat
340,412745,AZ,8,Debbie Lesko,Republican
341,412746,TX,27,Michael Cloud,Republican
342,412747,OH,12,Troy Balderson,Republican
343,412748,OK,1,Kevin Hern,Republican
344,412749,NY,25,Joseph Morelle,Democrat
345,412750,PA,5,Mary Scanlon,Democrat
346,412751,PA,7,Susan Wild,Democrat
347,412753,AZ,9,Greg Stanton,Democrat
348,412754,CA,10,Josh Harder,Democrat
349,412755,CA,21,TJ Cox,Democrat
350,412756,CA,25,Katie Hill,Democrat
351,412757,CA,39,Gilbert Cisneros,Democrat
352,412758,CA,45,Katie Porter,Democrat
353,412759,CA,48,Harley Rouda,Democrat
354,412760,CA,49,Mike Levin,Democrat
355,412761,CO,2,Joe Neguse,Democrat
356,412762,CO,6,Jason Crow,Democrat
357,412763,CT,5,Jahana Hayes,Democrat
358,412764,FL,6,Michael Waltz,Republican
359,412765,FL,15,Ross Spano,Republican
360,412766,FL,17,Gregory Steube,Republican
361,412767,FL,26,Debbie Mucarsel-Powell,Democrat
362,412768,FL,27,Donna Shalala,Democrat
363,412769,GA,6,Lucy McBath,Democrat
364,412771,IA,1,Abby Finkenauer,Democrat
365,412772,IA,3,Cynthia Axne,Democrat
366,412773,ID,1,Russ Fulcher,Republican
367,412774,IL,4,Jesús García,Democrat
368,412775,IL,6,Sean Casten,Democrat
369,412776,IL,14,Lauren Underwood,Democrat
370,412777,IN,4,James Baird,Republican
371,412778,IN,6,Greg Pence,Republican
372,412779,KS,2,Steven Watkins,Republican
373,412780,KS,3,Sharice Davids,Democrat
374,412781,MA,3,Lori Trahan,Democrat
375,412782,MA,7,Ayanna Pressley,Democrat
376,412783,MD,6,David Trone,Democrat
377,412784,MI,8,Elissa Slotkin,Democrat
378,412785,MI,9,Andy Levin,Democrat
379,412786,MI,11,Haley Stevens,Democrat
380,412787,MI,13,Rashida Tlaib,Democrat
381,412788,MN,1,Jim Hagedorn,Republican
382,412789,MN,2,Angie Craig,Democrat
383,412790,MN,3,Dean Phillips,Democrat
384,412791,MN,5,Ilhan Omar,Democrat
385,412792,MN,8,Pete Stauber,Republican
386,412793,MS,3,Michael Guest,Republican
387,412794,ND,0,Kelly Armstrong,Republican
388,412795,NH,1,Chris Pappas,Democrat
389,412796,NJ,2,Jefferson Van Drew,Democrat
390,412797,NJ,3,Andy Kim,Democrat
391,412798,NJ,7,Tom Malinowski,Democrat
392,412799,NJ,11,Mikie Sherrill,Democrat
393,412800,NM,1,Debra Haaland,Democrat
394,412801,NM,2,Xochitl Torres Small,Democrat
395,412802,NV,3,Susie Lee,Democrat
396,412803,NY,11,Max Rose,Democrat
397,412804,NY,14,Alexandria Ocasio-Cortez,Democrat
398,412805,NY,19,Antonio Delgado,Democrat
399,412806,NY,22,Anthony Brindisi,Democrat
400,412807,OH,16,Anthony Gonzalez,Republican
401,412808,OK,5,Kendra Horn,Democrat
402,412809,PA,4,Madeleine Dean,Democrat
403,412810,PA,6,Chrissy Houlahan,Democrat
404,412811,PA,9,Daniel Meuser,Republican
405,412812,PA,13,John Joyce,Republican
406,412813,PA,14,Guy Reschenthaler,Republican
407,412814,SC,1,Joe Cunningham,Democrat
408,412815,SC,4,William Timmons,Republican
409,412816,SD,0,Dusty Johnson,Republican
410,412817,TN,2,Tim Burchett,Republican
411,412818,TN,6,John Rose,Republican
412,412819,TN,7,Mark Green,Republican
413,412820,TX,2,Dan Crenshaw,Republican
414,412821,TX,3,Van Taylor,Republican
415,412822,TX,5,Lance Gooden,Republican
416,412823,TX,6,Ron Wright,Republican
417,412824,TX,7,Lizzie Fletcher,Democrat
418,412825,TX,16,Veronica Escobar,Democrat
419,412826,TX,21,Chip Roy,Republican
420,412827,TX,29,Sylvia Garcia,Democrat
421,412828,TX,32,Colin Allred,Democrat
422,412829,UT,4,Ben McAdams,Democrat
423,412830,VA,2,Elaine Luria,Democrat
424,412831,VA,5,Denver Riggleman,Republican
425,412832,VA,6,Ben Cline,Republican
426,412833,VA,7,Abigail Spanberger,Democrat
427,412834,VA,10,Jennifer Wexton,Democrat
428,412835,WA,8,Kim Schrier,Democrat
429,412836,WI,1,Bryan Steil,Republican
430,412837,WV,3,Carol Miller,Republican
431,412842,ME,2,Jared Golden,Democrat
