id, first_name, last_name, in_senate, state, gender, party, fec_candidate_id, state_rank, district, govtrack_id
361, Frank, Lucas, false, OK, M, R, H4OK06056, N/A, 3, 400247
362, Blaine, Luetkemeyer, false, MO, M, R, H8MO09153, N/A, 3, 412292
363, Ben, Luján, false, NM, M, D, H8NM03196, N/A, 3, 412293
364, Michelle, Lujan Grisham, false, NM, F, D, H8NM01257, N/A, 1, 412558
365, Stephen, Lynch, false, MA, M, D, H2MA09072, N/A, 8, 400249
366, Tom, MacArthur, false, NJ, M, R, H4NJ03130, N/A, 3, 412643
367, Sean, Maloney, false, NY, M, D, H2NY22139, N/A, 18, 412562
368, Carolyn, Maloney, false, NY, F, D, H2NY14037, N/A, 12, 400251
369, Kenny, Marchant, false, TX, M, R, H4TX24094, N/A, 24, 400656
370, Tom, Marino, false, PA, M, R, H0PA10078, N/A, 10, 412468
371, Roger, Marshall, false, KS, M, R, H6KS01179, N/A, 1, 412704
372, Thomas, Massie, false, KY, M, R, H2KY04121, N/A, 4, 412503
373, Brian, Mast, false, FL, M, R, H6FL18097, N/A, 18, 412698
374, Doris, Matsui, false, CA, F, D, H6CA05195, N/A, 6, 400663
375, Kevin, McCarthy, false, CA, M, R, H6CA22125, N/A, 23, 412190
376, Michael, McCaul, false, TX, M, R, H4TX10093, N/A, 10, 400654
377, Tom, McClintock, false, CA, M, R, H8CA04152, N/A, 4, 412295
378, Betty, McCollum, false, MN, F, D, H0MN04049, N/A, 4, 400259
379, A., McEachin, false, VA, M, D, H6VA04061, N/A, 4, 412728
380, Jim, McGovern, false, MA, M, D, H4MA03022, N/A, 2, 400263
381, Patrick, McHenry, false, NC, M, R, H4NC10047, N/A, 10, 400644
382, David, McKinley, false, WV, M, R, H0WV01072, N/A, 1, 412487
383, Cathy, McMorris Rodgers, false, WA, F, R, H4WA05077, N/A, 5, 400659
384, Jerry, McNerney, false, CA, M, D, H4CA11081, N/A, 9, 412189
385, Martha, McSally, false, AZ, F, R, H2AZ08102, N/A, 2, 412611
386, Mark, Meadows, false, NC, M, R, H2NC11080, N/A, 11, 412552
387, Pat, Meehan, false, PA, M, R, H0PA07082, N/A, 7, 412466
388, Gregory, Meeks, false, NY, M, D, H8NY06048, N/A, 5, 400271
389, Grace, Meng, false, NY, F, D, H2NY06116, N/A, 6, 412560
390, Luke, Messer, false, IN, M, R, H0IN02125, N/A, 6, 412540
391, Paul, Mitchell, false, MI, M, R, H4MI04118, N/A, 10, 412710
392, John, Moolenaar, false, MI, M, R, H4MI04126, N/A, 4, 412634
393, Alex, Mooney, false, WV, M, R, H4WV02080, N/A, 2, 412662
394, Gwen, Moore, false, WI, F, D, H4WI04183, N/A, 4, 400661
395, Joe, Morelle, false, NY, M, D, , N/A, 25, 412749
396, Seth, Moulton, false, MA, M, D, H4MA06090, N/A, 6, 412632
397, Markwayne, Mullin, false, OK, M, R, H2OK02083, N/A, 2, 412568
398, Mick, Mulvaney, false, SC, M, R, H0SC05031, N/A, 5, 412474
399, Stephanie, Murphy, false, FL, F, D, H6FL07140, N/A, 7, 412694
400, Tim, Murphy, false, PA, M, R, H2PA18143, N/A, 18, 400285
401, Jerrold, Nadler, false, NY, M, D, H2NY17071, N/A, 10, 400289
402, Grace, Napolitano, false, CA, F, D, H8CA34068, N/A, 32, 400290
403, Richard, Neal, false, MA, M, D, H8MA02041, N/A, 1, 400291
404, Dan, Newhouse, false, WA, M, R, H4WA04104, N/A, 4, 412660
405, Kristi, Noem, false, SD, F, R, H0SD00054, N/A, At-Large, 412475
406, Rick, Nolan, false, MN, M, D, H2MN08111, N/A, 8, 408211
407, Donald, Norcross, false, NJ, M, D, H4NJ01084, N/A, 1, 412606
408, Ralph, Norman, false, SC, M, R, H8SC05158, N/A, 5, 412738
409, Eleanor, Norton, false, DC, F, D, H0DC00058, N/A, At-Large, 400295
410, Devin, Nunes, false, CA, M, R, H8CA20059, N/A, 22, 400297
411, Tom, O'Halleran, false, AZ, M, D, H6AZ01199, N/A, 1, 412682
412, Beto, O'Rourke, false, TX, M, D, S8TX00285, N/A, 16, 412575
413, Pete, Olson, false, TX, M, R, H8TX22107, N/A, 22, 412302
414, Steven, Palazzo, false, MS, M, R, H0MS04120, N/A, 4, 412443
415, Frank, Pallone, false, NJ, M, D, H8NJ03073, N/A, 6, 400308
416, Gary, Palmer, false, AL, M, R, H4AL06098, N/A, 6, 412608
417, Jimmy, Panetta, false, CA, M, D, H6CA20152, N/A, 20, 412685
418, Bill, Pascrell, false, NJ, M, D, H6NJ08118, N/A, 9, 400309
419, Erik, Paulsen, false, MN, M, R, H8MN03077, N/A, 3, 412303
420, Donald, Payne, false, NJ, M, D, H2NJ10154, N/A, 10, 412506
421, Steve, Pearce, false, NM, M, R, H2NM02126, N/A, 2, 400313
422, Nancy, Pelosi, false, CA, F, D, H8CA05035, N/A, 12, 400314
423, Ed, Perlmutter, false, CO, M, D, H6CO07023, N/A, 7, 412192
424, Scott, Perry, false, PA, M, R, H2PA04135, N/A, 4, 412569
425, Scott, Peters, false, CA, M, D, H2CA52089, N/A, 52, 412523
426, Collin, Peterson, false, MN, M, D, H2MN07014, N/A, 7, 400316
427, Chellie, Pingree, false, ME, F, D, H8ME01120, N/A, 1, 412307
428, Robert, Pittenger, false, NC, M, R, H2NC09134, N/A, 9, 412551
429, Stacey, Plaskett, false, VI, F, D, H2VI00082, N/A, At-Large, 412659
430, Mark, Pocan, false, WI, M, D, H2WI02124, N/A, 2, 412585
431, Ted, Poe, false, TX, M, R, H4TX02108, N/A, 2, 400652
432, Bruce, Poliquin, false, ME, M, R, S2ME00158, N/A, 2, 412633
433, Jared, Polis, false, CO, M, D, H8CO02137, N/A, 2, 412308
434, Mike, Pompeo, false, KS, M, R, H0KS04051, N/A, 4, 412431
435, Bill, Posey, false, FL, M, R, H8FL15107, N/A, 8, 412309
436, Tom, Price, false, GA, M, R, H4GA06087, N/A, 6, 400626
437, David, Price, false, NC, M, D, H6NC04037, N/A, 4, 400326
438, Mike, Quigley, false, IL, M, D, H0IL05096, N/A, 5, 412331
439, Amata, Radewagen, false, AS, F, R, H4AS00036, N/A, At-Large, 412664
440, Jamie, Raskin, false, MD, M, D, H6MD08457, N/A, 8, 412708
441, John, Ratcliffe, false, TX, M, R, H4TX04153, N/A, 4, 412653
442, Tom, Reed, false, NY, M, R, H0NY29054, N/A, 23, 412393
443, Dave, Reichert, false, WA, M, R, H4WA08071, N/A, 8, 400660
444, Jim, Renacci, false, OH, M, R, H0OH16097, N/A, 16, 412462
445, Tom, Rice, false, SC, M, R, H2SC07066, N/A, 7, 412572
446, Kathleen, Rice, false, NY, F, D, H4NY04075, N/A, 4, 412647
447, Cedric, Richmond, false, LA, M, D, H8LA02054, N/A, 2, 412432
448, Martha, Roby, false, AL, F, R, H0AL02087, N/A, 2, 412394
449, Phil, Roe, false, TN, M, R, H6TN01388, N/A, 1, 412310
450, Harold, Rogers, false, KY, M, R, H0KY05015, N/A, 5, 400340
451, Mike, Rogers, false, AL, M, R, H2AL03032, N/A, 3, 400341
452, Dana, Rohrabacher, false, CA, M, R, H8CA42061, N/A, 48, 400343
453, Todd, Rokita, false, IN, M, R, H0IN04170, N/A, 4, 412426
454, Francis, Rooney, false, FL, M, R, H6FL19087, N/A, 19, 412699
455, Tom, Rooney, false, FL, M, R, H8FL16022, N/A, 17, 412311
456, Ileana, Ros-Lehtinen, false, FL, F, R, H0FL18025, N/A, 27, 400344
457, Jacky, Rosen, false, NV, F, D, S8NV00156, N/A, 3, 412715
458, Peter, Roskam, false, IL, M, R, H6IL06117, N/A, 6, 412202
459, Dennis, Ross, false, FL, M, R, H0FL12101, N/A, 15, 412411
460, Keith, Rothfus, false, PA, M, R, H0PA04220, N/A, 12, 412570
461, David, Rouzer, false, NC, M, R, H2NC07096, N/A, 7, 412641
462, Lucille, Roybal-Allard, false, CA, F, D, H2CA33048, N/A, 40, 400347
463, Edward, Royce, false, CA, M, R, H6CA39020, N/A, 39, 400348
464, Raul, Ruiz, false, CA, M, D, H2CA36439, N/A, 36, 412519
465, C.A. Dutch, Ruppersberger, false, MD, M, D, H2MD02160, N/A, 2, 400349
466, Bobby, Rush, false, IL, M, D, H2IL01042, N/A, 1, 400350
467, Steve, Russell, false, OK, M, R, H4OK05132, N/A, 5, 412650
468, John, Rutherford, false, FL, M, R, H6FL04105, N/A, 4, 412692
469, Tim, Ryan, false, OH, M, D, H2OH17109, N/A, 13, 400352
470, Paul, Ryan, false, WI, M, R, H8WI01024, N/A, 1, 400351
471, Gregorio, Sablan, false, MP, M, D, H8MP00041, N/A, At-Large, 412312
472, Linda, Sánchez, false, CA, F, D, H2CA39078, N/A, 38, 400355
473, Mark, Sanford, false, SC, M, R, H4SC01073, N/A, 1, 400607
474, John, Sarbanes, false, MD, M, D, H6MD03292, N/A, 3, 412212
475, Steve, Scalise, false, LA, M, R, H0LA01087, N/A, 1, 412261
476, Mary, Scanlon, false, PA, F, D, , N/A, 7, 412750
477, Jan, Schakowsky, false, IL, F, D, H8IL09067, N/A, 9, 400360
478, Adam, Schiff, false, CA, M, D, H0CA27085, N/A, 28, 400361
479, Brad, Schneider, false, IL, M, D, H2IL10068, N/A, 10, 412534
480, Kurt, Schrader, false, OR, M, D, H8OR05107, N/A, 5, 412315
481, David, Schweikert, false, AZ, M, R, H4AZ06045, N/A, 6, 412399
482, Austin, Scott, false, GA, M, R, H0GA08099, N/A, 8, 412417
483, David, Scott, false, GA, M, D, H2GA13012, N/A, 13, 400363
484, Robert, Scott, false, VA, M, D, H6VA01117, N/A, 3, 400364
485, F., Sensenbrenner, false, WI, M, R, H8WI09050, N/A, 5, 400365
486, José, Serrano, false, NY, M, D, H0NY18065, N/A, 15, 400366
487, Pete, Sessions, false, TX, M, R, H2TX03126, N/A, 32, 400367
488, Terri, Sewell, false, AL, F, D, H0AL07086, N/A, 7, 412396
489, Carol, Shea-Porter, false, NH, F, D, H6NH01230, N/A, 1, 412219
490, Brad, Sherman, false, CA, M, D, H6CA24113, N/A, 30, 400371
491, John, Shimkus, false, IL, M, R, H2IL20042, N/A, 15, 400373
492, Bill, Shuster, false, PA, M, R, H2PA09035, N/A, 9, 409888
493, Mike, Simpson, false, ID, M, R, H8ID02064, N/A, 2, 400376
494, Kyrsten, Sinema, false, AZ, F, D, H2AZ09019, N/A, 9, 412509
495, Albio, Sires, false, NJ, M, D, H6NJ13191, N/A, 8, 412186
496, Louise, Slaughter, false, NY, F, D, H6NY03031, N/A, 25, 400378
497, Christopher, Smith, false, NJ, M, R, H8NJ04014, N/A, 4, 400380
498, Adam, Smith, false, WA, M, D, H6WA09025, N/A, 9, 400379
499, Adrian, Smith, false, NE, M, R, H6NE03115, N/A, 3, 412217
500, Jason, Smith, false, MO, M, R, H4MO08162, N/A, 8, 412596
501, Lamar, Smith, false, TX, M, R, H6TX21012, N/A, 21, 400381
502, Lloyd, Smucker, false, PA, M, R, H6PA16320, N/A, 16, 412722
503, Darren, Soto, false, FL, M, D, H6FL09179, N/A, 9, 412695
504, Jackie, Speier, false, CA, F, D, H8CA12171, N/A, 14, 412259
505, Elise, Stefanik, false, NY, F, R, H4NY21079, N/A, 21, 412648
506, Chris, Stewart, false, UT, M, R, H2UT02324, N/A, 2, 412581
507, Steve, Stivers, false, OH, M, R, H8OH15076, N/A, 15, 412461
508, Thomas, Suozzi, false, NY, M, D, H6NY03247, N/A, 3, 412717
509, Eric, Swalwell, false, CA, M, D, H2CA15094, N/A, 15, 412514
510, Mark, Takano, false, CA, M, D, H2CA43245, N/A, 41, 412520
511, Scott, Taylor, false, VA, M, R, H0VA02118, N/A, 2, 412727
512, Claudia, Tenney, false, NY, F, R, H4NY22051, N/A, 22, 412720
513, Bennie, Thompson, false, MS, M, D, H4MS02068, N/A, 2, 400402
514, Glenn, Thompson, false, PA, M, R, H8PA05071, N/A, 5, 412317
515, Mike, Thompson, false, CA, M, D, H8CA01109, N/A, 5, 400403
516, William, Thornberry, false, TX, M, R, H4TX13014, N/A, 13, 400404
517, Pat, Tiberi, false, OH, M, R, H0OH12062, N/A, 12, 400406
518, Scott, Tipton, false, CO, M, R, H6CO03139, N/A, 3, 412405
519, Dina, Titus, false, NV, F, D, H8NV03036, N/A, 1, 412318
520, Paul, Tonko, false, NY, M, D, H8NY21203, N/A, 20, 412319
521, Norma, Torres, false, CA, F, D, H4CA35031, N/A, 35, 412617
522, Dave, Trott, false, MI, M, R, H4MI11097, N/A, 11, 412636
523, Niki, Tsongas, false, MA, F, D, H8MA05143, N/A, 3, 412254
524, Michael, Turner, false, OH, M, R, H2OH03067, N/A, 10, 400411
525, Fred, Upton, false, MI, M, R, H6MI04113, N/A, 6, 400414
526, David, Valadao, false, CA, M, R, H2CA20094, N/A, 21, 412515
527, Juan, Vargas, false, CA, M, D, H2CA50026, N/A, 51, 412522
528, Marc, Veasey, false, TX, M, D, H2TX33073, N/A, 33, 412579
529, Filemon, Vela, false, TX, M, D, H2TX27190, N/A, 34, 412580
530, Nydia, Velázquez, false, NY, F, D, H2NY00010, N/A, 7, 400416
531, Peter, Visclosky, false, IN, M, D, H4IN01012, N/A, 1, 400417
532, Ann, Wagner, false, MO, F, R, H2MO02102, N/A, 2, 412548
533, Tim, Walberg, false, MI, M, R, H4MI07103, N/A, 7, 412213
534, Greg, Walden, false, OR, M, R, H6OR02116, N/A, 2, 400419
535, Mark, Walker, false, NC, M, R, H4NC06052, N/A, 6, 412670
536, Jackie, Walorski, false, IN, F, R, H0IN02190, N/A, 2, 412538
537, Mimi, Walters, false, CA, F, R, H4CA45097, N/A, 45, 412618
538, Tim, Walz, false, MN, M, D, H6MN01174, N/A, 1, 412214
539, Debbie, Wasserman Schultz, false, FL, F, D, H4FL20023, N/A, 23, 400623
540, Maxine, Waters, false, CA, F, D, H4CA23011, N/A, 43, 400422
541, Bonnie, Watson Coleman, false, NJ, F, D, H4NJ12149, N/A, 12, 412644
542, Randy, Weber, false, TX, M, R, H2TX14149, N/A, 14, 412574
543, Daniel, Webster, false, FL, M, R, H0FL08208, N/A, 11, 412410
544, Peter, Welch, false, VT, M, D, H6VT00160, N/A, At-Large, 412239
545, Brad, Wenstrup, false, OH, M, R, H2OH02085, N/A, 2, 412564
546, Bruce, Westerman, false, AR, M, R, H4AR04048, N/A, 4, 412610
547, Susan, Wild, false, PA, F, D, , N/A, 15, 412751
548, Roger, Williams, false, TX, M, R, H2TX33040, N/A, 25, 412578
549, Joe, Wilson, false, SC, M, R, H2SC02059, N/A, 2, 400433
550, Frederica, Wilson, false, FL, F, D, H0FL17068, N/A, 24, 412412
551, Robert, Wittman, false, VA, M, R, H8VA01147, N/A, 1, 412255
552, Steve, Womack, false, AR, M, R, H0AR03055, N/A, 3, 412402
553, Rob, Woodall, false, GA, M, R, H0GA07133, N/A, 7, 412416
554, John, Yarmuth, false, KY, M, D, H6KY03124, N/A, 3, 412211
555, Kevin, Yoder, false, KS, M, R, H0KS03137, N/A, 3, 412430
556, Ted, Yoho, false, FL, M, R, H2FL06109, N/A, 3, 412525
557, David, Young, false, IA, M, R, S4IA00103, N/A, 3, 412628
558, Don, Young, false, AK, M, R, H6AK00045, N/A, At-Large, 400440
559, Lee, Zeldin, false, NY, M, R, H8NY01148, N/A, 1, 412646
560, Ryan, Zinke, false, MT, M, R, H4MT01041, N/A, At-Large, 412640
