name;donor;contribution
Scott Desjarlais;Gideon, Cooper & Essary;$12,300
Ted Deutch;Avm LP;$16,200
Ted Deutch;Robbins, Geller et al;$16,200
Ted Deutch;Schmier & Feurring Properties;$15,900
Ted Deutch;Southern Glazer's Wine & Spirits;$15,900
Ted Deutch;AT&T Inc;$11,800
Mario Diaz-Balart;Leon Medical Centers;$25,000
Mario Diaz-Balart;Harris Corp;$21,750
Mario Diaz-Balart;SoftBank Corp;$18,950
Mario Diaz-Balart;Fanjul Corp;$18,200
Mario Diaz-Balart;General Atomics;$17,200
Debbie Dingell;University of Michigan;$39,595
Debbie Dingell;Rock Holdings;$24,650
Debbie Dingell;Ford Motor Co;$19,250
Debbie Dingell;Boeing Co;$17,900
Debbie Dingell;Centene Corp;$15,900
Lloyd Doggett;University of Texas;$11,470
Lloyd Doggett;Asuragen Inc;$10,800
Lloyd Doggett;Linebarger, Goggan et al;$10,800
Lloyd Doggett;American Assn for Justice;$10,000
Lloyd Doggett;American Federation of Teachers;$10,000
Joe Donnelly;Votesane PAC;$371,487
Joe Donnelly;Indiana University;$101,504
Joe Donnelly;Eli Lilly & Co;$77,414
Joe Donnelly;Signature Bank;$59,250
Joe Donnelly;Faegre Baker Daniels;$55,260
Dan Donovan;Votesane PAC;$101,000
Dan Donovan;Bram Corp;$37,800
Dan Donovan;HJ Kalikow & Co;$28,000
Dan Donovan;Greater New York Hospital Assn;$22,500
Dan Donovan;Bloomberg Lp;$21,600
Mike Doyle;Granite Telecommunications;$13,500
Mike Doyle;National Assn of Broadcasters;$11,000
Mike Doyle;American Cable Assn;$10,500
Mike Doyle;DISH Network;$10,400
Mike Doyle;American Assn for Justice;$10,000
Tammy Duckworth;EMILY's List;$427,935
Tammy Duckworth;J Street;$193,657
Tammy Duckworth;League of Conservation Voters;$176,328
Tammy Duckworth;Simmons Hanly Conroy;$131,775
Tammy Duckworth;Council for a Livable World;$45,087
Sean P Duffy;Votesane PAC;$93,000
Sean P Duffy;Rock Holdings;$38,100
Sean P Duffy;Northwestern Mutual;$25,500
Sean P Duffy;Ashley Furniture;$21,600
Sean P Duffy;Nasdaq Inc;$18,800
Jeff Duncan;Blue Cross/Blue Shield;$13,000
Jeff Duncan;American Society of Anesthesiologists;$10,000
Jeff Duncan;Charter Communications;$10,000
Jeff Duncan;Comcast Corp;$10,000
Jeff Duncan;Duke Energy;$10,000
John J Duncan Jr.;Berkshire Hathaway;$5,000
John J Duncan Jr.;CSX Corp;$5,000
John J Duncan Jr.;Norfolk Southern;$5,000
John J Duncan Jr.;Parsons Corp;$5,000
John J Duncan Jr.;Prosperity Action;$5,000
Neal Dunn;Advanced Urology Institute;$25,300
Neal Dunn;Atlantic Urological Assoc;$22,700
Neal Dunn;Michigan Institute of Urology;$15,370
Neal Dunn;Advanced Urology Specialists;$11,300
Neal Dunn;Assoc for Urology Care;$10,800
Dick Durbin;Simmons Hanly Conroy;$122,800
Dick Durbin;Cooney & Conway;$88,300
Dick Durbin;Northrop Grumman;$68,094
Dick Durbin;United Technologies;$56,500
Dick Durbin;BAE Systems;$55,755
Keith Ellison;University of Minnesota;$13,920
Keith Ellison;Shutters & Blinds;$9,400
Keith Ellison;Blackstone Group;$9,100
Keith Ellison;Heartland Realty Investors;$8,100
Keith Ellison;J Street;$7,000
Tom Emmer;Hubbard Broadcasting;$22,600
Tom Emmer;Davisco Foods International;$18,900
Tom Emmer;Element Electronics;$17,300
Tom Emmer;NASDAQ Inc;$15,500
Tom Emmer;Land O'Lakes;$15,400
Eliot L Engel;NorPAC;$27,284
Eliot L Engel;St George's University;$21,600
Eliot L Engel;Stroock, Stroock & Lavan;$15,800
Eliot L Engel;Monroe College;$15,000
Eliot L Engel;Arbani Management;$12,750
Mike Enzi;Peabody Energy;$21,650
Mike Enzi;Northwestern Mutual;$20,500
Mike Enzi;Alamo PAC;$20,000
Mike Enzi;Common Values PAC;$20,000
Mike Enzi;Fund for a Conservative Future;$20,000
Joni Ernst;Senate Conservatives Fund;$35,344
Joni Ernst;Duty Free Americas;$34,900
Joni Ernst;Berkshire Hathaway;$26,250
Joni Ernst;HJ Kalikow & Co;$21,600
Joni Ernst;Ariel Corp;$21,200
Anna Eshoo;Votesane PAC;$58,000
Anna Eshoo;Stanford University;$21,750
Anna Eshoo;Oracle Corp;$21,480
Anna Eshoo;Kleiner, Perkins et al;$18,900
Anna Eshoo;Alphabet Inc;$17,400
Adriano Espaillat;Henry Schein Inc;$15,300
Adriano Espaillat;American Crystal Sugar;$10,000
Adriano Espaillat;American Federation of Teachers;$10,000
Adriano Espaillat;AmeriPAC: The Fund for a Greater America;$10,000
Adriano Espaillat;Carpenters & Joiners Union;$10,000
Ron Estes;Poet LLC;$21,200
Ron Estes;Watco Companies;$20,800
Ron Estes;Koch Industries;$18,300
Ron Estes;McGinty Machine Co;$16,400
Ron Estes;Palomino Petroleum;$16,200
Elizabeth Esty;League of Conservation Voters;$14,100
Elizabeth Esty;Sheet Metal, Air, Rail & Transportation Union;$13,000
Elizabeth Esty;American Society of Anesthesiologists;$10,000
Elizabeth Esty;AmeriPAC: The Fund for a Greater America;$10,000
Elizabeth Esty;MURPHPAC;$10,000
Dwight Evans;Comcast Corp;$26,950
Dwight Evans;Duane Morris LLP;$21,865
Dwight Evans;Cozen O'Connor;$15,350
Dwight Evans;United Food & Commercial Workers Union;$13,050
Dwight Evans;Blue Cross/Blue Shield;$11,850
John Faso;Votesane PAC;$103,000
John Faso;Elliott Management;$26,300
John Faso;Jane Street Capital;$16,200
John Faso;New York Life Insurance;$15,400
John Faso;AT&T Inc;$12,400
Dianne Feinstein;EMILY's List;$108,450
Dianne Feinstein;Edison International;$67,012
Dianne Feinstein;PG&E Corp;$55,035
Dianne Feinstein;Pisces Inc;$45,900
Dianne Feinstein;JPMorgan Chase & Co;$42,300
Drew Ferguson;AFLAC Inc;$33,700
Drew Ferguson;American Dental Assn;$22,500
Drew Ferguson;American Academy of Pediatric Dentistry;$20,000
Drew Ferguson;Schuster Enterprises;$13,100
Drew Ferguson;Brent Scarbrough & Co;$10,800
Deb Fischer;Union Pacific Corp;$80,350
Deb Fischer;Northrop Grumman;$43,150
Deb Fischer;Cox Enterprises;$43,000
Deb Fischer;AFLAC Inc;$37,300
Deb Fischer;Delta Air Lines;$31,300
Brian Fitzpatrick;Comcast Corp;$28,800
Brian Fitzpatrick;Wakefern Food;$22,800
Brian Fitzpatrick;Blue Cross/Blue Shield;$15,908
Brian Fitzpatrick;International Assn of Fire Fighters;$15,000
Brian Fitzpatrick;Tuesday Group PAC;$15,000
Jeff Flake;American Airlines Group;$66,850
Jeff Flake;Pinnacle West Capital;$35,850
Jeff Flake;Marriott International;$30,400
Jeff Flake;Salt River Project;$29,000
Jeff Flake;Pivotal Group;$28,473
Chuck Fleischmann;DeRoyal Industries;$21,600
Chuck Fleischmann;McKee Foods;$21,400
Chuck Fleischmann;Unum Group;$20,900
Chuck Fleischmann;Bechtel Group;$20,150
Chuck Fleischmann;Leidos Inc;$14,750
Bill Flores;Blue Cross/Blue Shield;$17,000
Bill Flores;Chevron Corp;$16,400
Bill Flores;Marathon Petroleum;$15,000
Bill Flores;National Assn of Broadcasters;$14,679
Bill Flores;Talos Energy;$12,100
Jeff Fortenberry;Northrop Grumman;$14,000
Jeff Fortenberry;National Air Traffic Controllers Assn;$11,000
Jeff Fortenberry;Sandhills Publishing;$10,800
Jeff Fortenberry;American Crystal Sugar;$10,000
Jeff Fortenberry;Lockheed Martin;$10,000
Bill Foster;US Dept of Energy;$57,511
Bill Foster;University of California;$35,770
Bill Foster;University of Chicago;$31,915
Bill Foster;Northwestern University;$28,420
Bill Foster;Stanford University;$27,025
Virginia Foxx;Jennmar Corp;$35,100
Virginia Foxx;Full Sail;$32,400
Virginia Foxx;BB&T Corp;$17,750
Virginia Foxx;Alex Lee Inc;$14,000
Virginia Foxx;National Restaurant Assn;$12,700
Lois J Frankel;Chase Enterprises;$12,800
Lois J Frankel;Fanjul Corp;$10,800
Lois J Frankel;Prospect Hotel Advisors;$10,800
Lois J Frankel;Renaissance Technologies;$10,800
Lois J Frankel;American Assn for Justice;$10,000
Rodney Frelinghuysen;Northrop Grumman;$46,900
Rodney Frelinghuysen;General Dynamics;$27,900
Rodney Frelinghuysen;Elliott Management;$23,900
Rodney Frelinghuysen;Deloitte LLP;$22,300
Rodney Frelinghuysen;Seafarers International Union;$15,000
Marcia L Fudge;American Federation of State/Cnty/Munic Employees;$10,000
Marcia L Fudge;American Federation of Teachers;$10,000
Marcia L Fudge;AT&T Inc;$10,000
Marcia L Fudge;Boilermakers Union;$10,000
Marcia L Fudge;Farm Credit Council;$10,000
Tulsi Gabbard;American Spraytech LLC;$16,220
Tulsi Gabbard;Upcountry Fitness;$13,700
Tulsi Gabbard;At Last Sportswear;$10,800
Tulsi Gabbard;Dallas Ent Head & Neck Surgery;$10,800
Tulsi Gabbard;Mosaic Media Group;$10,800
Matt Gaetz;Lewis Bear Co;$37,000
Matt Gaetz;Ballard Partners;$16,500
Matt Gaetz;Carr, Riggs & Ingram;$15,000
Matt Gaetz;Howard Group;$14,300
Matt Gaetz;Southern Co;$12,250
Mike Gallagher;BayCare Clinic;$28,700
Mike Gallagher;Spark Capital;$21,600
Mike Gallagher;Kirkland & Ellis;$20,850
Mike Gallagher;Oshkosh Corp;$19,712
Mike Gallagher;Alta Resources;$16,200
Ruben Gallego;Axon;$11,750
Ruben Gallego;Northrop Grumman;$11,003
Ruben Gallego;Pinnacle West Capital;$10,875
Ruben Gallego;Don Bennett Moon PC;$10,800
Ruben Gallego;UNITE HERE;$10,776
John Garamendi;Seafarers International Union;$21,584
John Garamendi;Air Line Pilots Assn;$12,500
John Garamendi;Northrop Grumman;$12,000
John Garamendi;International Brotherhood of Electrical Workers;$10,500
John Garamendi;American Waterways Operators;$10,000
Cory Gardner;Club for Growth;$97,552
Cory Gardner;Elliott Management;$53,700
Cory Gardner;Brownstein, Hyatt et al;$48,300
Cory Gardner;Anadarko Petroleum;$43,500
Cory Gardner;Koch Industries;$42,200
Tom Garrett;House Freedom Fund;$23,500
Tom Garrett;American Bankers Assn;$10,000
Tom Garrett;Majority Cmte PAC;$10,000
Tom Garrett;More Conservatives PAC;$10,000
Tom Garrett;National Auto Dealers Assn;$10,000
Greg Gianforte;Yellowstone Bank;$51,700
Greg Gianforte;Jc Billion Inc;$43,200
Greg Gianforte;FICO;$30,700
Greg Gianforte;Langlas & Assoc;$28,900
Greg Gianforte;Barnard Construction;$26,800
Bob Gibbs;Timken Co;$20,000
Bob Gibbs;Seafarers International Union;$13,500
Bob Gibbs;Ariel Corp;$11,800
Bob Gibbs;TimkenSteel Corp;$11,000
Bob Gibbs;White Castle System;$11,000
Kirsten Gillibrand;Davis, Polk & Wardwell;$221,370
Kirsten Gillibrand;Boies, Schiller & Flexner;$163,760
Kirsten Gillibrand;Paul, Weiss et al;$129,305
Kirsten Gillibrand;Akin, Gump et al;$96,208
Kirsten Gillibrand;Pfizer Inc;$80,483
Louis B Gohmert Jr.;Goodwin-Lasiter Inc;$10,800
Louis B Gohmert Jr.;House Freedom Fund;$9,700
Louis B Gohmert Jr.;Martin Gas Co;$8,100
Louis B Gohmert Jr.;Koch Industries;$7,500
Louis B Gohmert Jr.;Brookshire Grocery;$5,900
Jimmy Gomez;Royal Business Bank;$33,900
Jimmy Gomez;American Federation of State/Cnty/Munic Employees;$21,125
Jimmy Gomez;Ernst & Young;$20,000
Jimmy Gomez;International Assn of Fire Fighters;$20,000
Jimmy Gomez;Sheet Metal, Air, Rail & Transportation Union;$20,000
Jenniffer Gonzalez;HIMA San Pablo;$11,724
Jenniffer Gonzalez;Bya;$9,500
Jenniffer Gonzalez;Crowley Maritime;$7,500
Jenniffer Gonzalez;Saltchuk Resources;$7,500
Jenniffer Gonzalez;Virtus Consulting Group;$5,400
Vicente Gonzalez;alliantgroup;$26,200
Vicente Gonzalez;Doctors Hospital at Renaissance;$16,600
Vicente Gonzalez;Ernst & Young;$15,000
Vicente Gonzalez;International Brotherhood of Electrical Workers;$15,000
Vicente Gonzalez;National Beer Wholesalers Assn;$15,000
Bob Goodlatte;Norfolk Southern;$10,000
Bob Goodlatte;Alphabet Inc;$7,700
Bob Goodlatte;AT&T Inc;$7,500
Bob Goodlatte;National Assn of Broadcasters;$7,500
Bob Goodlatte;National Pork Producers Council;$7,500
Paul Gosar;House Freedom Fund;$26,385
Paul Gosar;American Dental Assn;$14,250
Paul Gosar;Freeport-McMoRan;$11,000
Paul Gosar;Bill Luke Chrysler/Jeep/Dodge;$10,800
Paul Gosar;American Academy of Pediatric Dentistry;$10,000
Josh Gottheimer;NorPAC;$71,629
Josh Gottheimer;Paul, Weiss et al;$65,800
Josh Gottheimer;Blackstone Group;$62,500
Josh Gottheimer;Goldman Sachs;$42,650
Josh Gottheimer;KKR & Co;$40,983
Trey Gowdy;Empire Office;$6,000
Trey Gowdy;Great America PAC;$6,000
Trey Gowdy;Metromont Corp;$5,400
Trey Gowdy;American Institute of CPAs;$5,000
Trey Gowdy;Koch Industries;$5,000
Lindsey Graham;Lockheed Martin;$61,700
Lindsey Graham;General Electric;$59,700
Lindsey Graham;Nelson, Mullins et al;$59,082
Lindsey Graham;MacAndrews & Forbes;$53,400
Lindsey Graham;NextEra Energy;$50,600
Kay Granger;Lockheed Martin;$131,940
Kay Granger;Votesane PAC;$68,000
Kay Granger;Progeny Systems;$23,500
Kay Granger;Northrop Grumman;$20,000
Kay Granger;Bass Brothers Enterprises;$18,100
Chuck Grassley;Votesane PAC;$105,500
Chuck Grassley;DCI Group;$41,837
Chuck Grassley;Blue Cross/Blue Shield;$36,400
Chuck Grassley;WilmerHale LLP;$36,150
Chuck Grassley;Sukup Manufacturing;$35,900
Garret Graves;Mmr Group;$46,000
Garret Graves;Edison Chouest Offshore;$32,400
Garret Graves;Energy Transfer Equity;$20,950
Garret Graves;Eatel;$18,450
Garret Graves;Cajun Industries;$14,000
Sam Graves;Berkshire Hathaway;$24,000
Sam Graves;Hallmark Cards;$22,200
Sam Graves;Northrop Grumman;$20,000
Sam Graves;Airlines for America;$11,000
Sam Graves;Norfolk Southern;$11,000
Tom Graves;Textile Management Assoc;$16,200
Tom Graves;General Dynamics;$15,400
Tom Graves;GEO Group;$15,000
Tom Graves;Northrop Grumman;$15,000
Tom Graves;Investment Co Institute;$13,500
Al Green;Votesane PAC;$41,500
Al Green;Bracewell LLP;$10,800
Al Green;National Assn of Realtors;$10,500
Al Green;International Longshoremens Assn;$10,000
Al Green;Machinists/Aerospace Workers Union;$10,000
Gene Green;Ocean Shipholdings;$7,500
Gene Green;National Assn of Broadcasters;$7,250
Gene Green;Gonzalez & Assoc;$5,400
Gene Green;Alkermes Plc;$5,000
Gene Green;American College of Cardiology;$5,000
Morgan Griffith;Medquest Pharmacy;$17,900
Morgan Griffith;Dominion Resources;$11,250
Morgan Griffith;Medical Facilities of America;$10,100
Morgan Griffith;Altria Group;$10,000
Morgan Griffith;American Academy of Dermatology Assn;$10,000
Raul M Grijalva;Far Star Ventures;$10,800
Raul M Grijalva;American Crystal Sugar;$10,000
Raul M Grijalva;American Federation of State/Cnty/Munic Employees;$10,000
Raul M Grijalva;American Federation of Teachers;$10,000
Raul M Grijalva;Carpenters & Joiners Union;$10,000
Michelle Lujan Grisham;Machinists/Aerospace Workers Union;$10,000
Michelle Lujan Grisham;Deloitte LLP;$8,000
Michelle Lujan Grisham;People for Ben;$5,500
Michelle Lujan Grisham;American Assn of Neurological Surgeons;$2,000
Michelle Lujan Grisham;Environmental Defense Fund;$2,000
Glenn S Grothman;Northwestern Mutual;$23,800
Glenn S Grothman;Continental Properties;$17,200
Glenn S Grothman;Sargento Foods;$17,200
Glenn S Grothman;Oshkosh Corp;$15,610
Glenn S Grothman;Thrivent Financial for Lutherans;$11,000
Brett Guthrie;UnitedHealth Group;$19,500
Brett Guthrie;National Thoroughbred Racing Assn;$15,000
Brett Guthrie;Blue Cross/Blue Shield;$12,500
Brett Guthrie;Biotechnology Innovation Organization;$12,000
Brett Guthrie;National Assn of Broadcasters;$12,000
Luis V Gutierrez;AT&T Inc;$5,000
Luis V Gutierrez;Deloitte LLP;$5,000
Luis V Gutierrez;Service Employees International Union;$5,000
Luis V Gutierrez;Ernst & Young;$4,000
Luis V Gutierrez;Comcast Corp;$3,000
Colleen Hanabusa;Sheet Metal, Air, Rail & Transportation Union;$10,000
Colleen Hanabusa;Carpenters & Joiners Union;$5,000
Colleen Hanabusa;International Brotherhood of Electrical Workers;$5,000
Colleen Hanabusa;Machinists/Aerospace Workers Union;$5,000
Colleen Hanabusa;Northrop Grumman;$5,000
Karen Handel;Susan B Anthony List;$46,154
Karen Handel;Rollins Inc;$37,800
Karen Handel;Henssler Financial;$33,850
Karen Handel;Amway/Alticor Inc;$28,000
Karen Handel;Mountain Express Oil Co;$21,600
Gregg Harper;Briar Hill Management;$7,500
Gregg Harper;Huntington Ingalls Industries;$7,500
Gregg Harper;Gulf South Capital;$5,400
Gregg Harper;Heritage Properties;$5,400
Gregg Harper;American Chiropractic Assn;$5,000
Andy Harris;US Anesthesia Partners;$48,300
Andy Harris;Emergent Biosolutions;$14,100
Andy Harris;Northrop Grumman;$13,422
Andy Harris;Kelly & Assoc Insurance Group;$12,500
Andy Harris;Bergson & Co;$10,800
Kamala D Harris;University of California;$128,804
Kamala D Harris;WarnerMedia Group;$128,175
Kamala D Harris;Alphabet Inc;$109,776
Kamala D Harris;Venable LLP;$91,273
Kamala D Harris;21st Century Fox;$90,402
Vicky Hartzler;Northrop Grumman;$17,700
Vicky Hartzler;Boeing Co;$15,400
Vicky Hartzler;Bartlett & Co;$10,800
Vicky Hartzler;Colt Energy;$10,800
Vicky Hartzler;Midway Usa;$10,800
Maggie Hassan;EMILY's List;$561,784
Maggie Hassan;J Street;$207,951
Maggie Hassan;Harvard University;$95,953
Maggie Hassan;Dartmouth College;$66,603
Maggie Hassan;Council for a Livable World;$64,908
Alcee L Hastings;Amscot Financial;$15,000
Alcee L Hastings;Teamsters Union;$12,500
Alcee L Hastings;Community Choice Financial;$11,000
Alcee L Hastings;AT&T Inc;$10,500
Alcee L Hastings;American Bankers Assn;$10,000
Orrin G Hatch;Votesane PAC;$107,000
Orrin G Hatch;Ernst & Young;$89,450
Orrin G Hatch;Microsoft Corp;$73,100
Orrin G Hatch;Blackstone Group;$54,300
Orrin G Hatch;Ryan LLC;$42,600
Dennis Heck;State of Washington;$14,225
Dennis Heck;Boeing Co;$13,200
Dennis Heck;Doughty, Hanson & Co;$10,400
Dennis Heck;Annaly Capital Management;$10,100
Dennis Heck;American Assn for Justice;$10,000
Martin Heinrich;League of Conservation Voters;$116,845
Martin Heinrich;University of New Mexico;$64,692
Martin Heinrich;J Street;$62,067
Martin Heinrich;Mmr Constructors;$57,200
Martin Heinrich;Akin, Gump et al;$35,952
Heidi Heitkamp;Alphabet Inc;$149,040
Heidi Heitkamp;University of California;$147,757
Heidi Heitkamp;J Street;$124,285
Heidi Heitkamp;Motley Rice LLC;$116,413
Heidi Heitkamp;Goldman Sachs;$101,204
Dean Heller;Votesane PAC;$190,000
Dean Heller;Station Casinos;$118,000
Dean Heller;Jennmar Corp;$110,700
Dean Heller;MGM Resorts International;$82,300
Dean Heller;Caesars Entertainment;$63,100
Jeb Hensarling;Worldpay Inc;$10,000
Jeb Hensarling;Texas Capital Bancshares;$8,208
Jeb Hensarling;Deason Capital Services;$8,100
Jeb Hensarling;CGCN Group;$7,750
Jeb Hensarling;Bank of America;$7,700
Kevin Hern;McDonald's Corp;$53,550
Kevin Hern;International Franchise Assn;$20,000
Kevin Hern;American Bankers Assn;$16,500
Kevin Hern;Pelco Structural;$16,200
Kevin Hern;Jim Norton Toyota;$16,000
Jody B Hice;House Freedom Fund;$24,500
Jody B Hice;Janus Research;$11,100
Jody B Hice;Home Depot;$11,000
Jody B Hice;AFLAC Inc;$10,000
Jody B Hice;National Auto Dealers Assn;$10,000
Brian M Higgins;Union Concrete;$10,800
Brian M Higgins;Honeywell International;$10,030
Brian M Higgins;Air Line Pilots Assn;$10,000
Brian M Higgins;American Chiropractic Assn;$10,000
Brian M Higgins;American Federation of Teachers;$10,000
Clay Higgins;LHC Group;$15,650
Clay Higgins;Majority Cmte PAC;$15,000
Clay Higgins;Cox Oil;$11,300
Clay Higgins;Acadian Companies;$11,200
Clay Higgins;Harvey Gulf International Marine;$11,000
French Hill;Stephens Group;$87,900
French Hill;State of Arkansas;$22,350
French Hill;Simmons First National Corp;$20,050
French Hill;Windstream Communications;$18,150
French Hill;Wells Fargo;$16,650
Jim Himes;Fermat Capital Management;$21,518
Jim Himes;Goldman Sachs;$17,600
Jim Himes;Council of Insurance Agents & Brokers;$15,000
Jim Himes;National Assn of Insurance & Financial Advisors;$15,000
Jim Himes;Sotheby's;$13,500
Mazie K Hirono;Emily's List;$52,802
Mazie K Hirono;Alexander & Baldwin;$49,400
Mazie K Hirono;Kobayashi, Sugita & Goda;$41,050
Mazie K Hirono;Pop Fishing & Marine;$23,800
Mazie K Hirono;RM Towill Corp;$22,100
John Hoeven;Edison Chouest Offshore;$34,700
John Hoeven;Hess Corp;$30,400
John Hoeven;Berkshire Hathaway;$28,990
John Hoeven;Westport Properties;$27,875
John Hoeven;Murray Energy;$27,848
George Holding;Blackstone Group;$129,900
George Holding;MetLife Inc;$50,550
George Holding;Capitol Counsel;$29,799
George Holding;Altria Group;$28,100
George Holding;Ernst & Young;$21,100
Trey Hollingsworth;New York Life Insurance;$15,000
Trey Hollingsworth;National Air Traffic Controllers Assn;$11,000
Trey Hollingsworth;Ernst & Young;$10,500
Trey Hollingsworth;American Bankers Assn;$10,000
Trey Hollingsworth;American Crystal Sugar;$10,000
Steny H Hoyer;Exelon Corp;$27,750
Steny H Hoyer;USAA;$21,000
Steny H Hoyer;Blue Cross/Blue Shield;$20,500
Steny H Hoyer;UnitedHealth Group;$20,500
Steny H Hoyer;Akin, Gump et al;$20,250
Richard Hudson;Hendrick Motorsports;$23,100
Richard Hudson;PepsiCo Inc;$18,800
Richard Hudson;Speedway Motorsports;$12,400
Richard Hudson;Exxon Mobil;$12,200
Richard Hudson;GlaxoSmithKline;$11,500
Jared Huffman;Puma Springs Vineyards;$10,680
Jared Huffman;Osterweis Capital Management;$10,400
Jared Huffman;Air Line Pilots Assn;$10,000
Jared Huffman;Carpenters & Joiners Union;$10,000
Jared Huffman;Clean PAC;$10,000
Bill Huizenga;Amway/Alticor Inc;$33,400
Bill Huizenga;Nasdaq Inc;$21,000
Bill Huizenga;Rock Holdings;$18,100
Bill Huizenga;FMR Corp;$16,750
Bill Huizenga;Paul Hastings LLP;$14,500
Randy Hultgren;Performance Trust;$38,425
Randy Hultgren;Exelon Corp;$28,400
Randy Hultgren;Camcraft Inc;$17,700
Randy Hultgren;Options Clearing Corp;$15,000
Randy Hultgren;Cboe Global Markets;$13,800
Duncan D Hunter;General Dynamics;$13,500
Duncan D Hunter;Cubic Corp;$11,000
Duncan D Hunter;Northrop Grumman;$10,500
Duncan D Hunter;General Atomics;$10,250
Duncan D Hunter;Bill PAC (Shuster);$10,000
Will Hurd;Hunt Companies;$25,807
Will Hurd;USAA;$24,550
Will Hurd;Oracle Corp;$24,130
Will Hurd;Energy Transfer Equity;$23,750
Will Hurd;Marathon Petroleum;$22,900
Cindy Hyde-Smith;Telapex Inc;$31,700
Cindy Hyde-Smith;BGR Group;$31,558
Cindy Hyde-Smith;General Atomics;$28,350
Cindy Hyde-Smith;Freeport-McMoRan;$22,700
Cindy Hyde-Smith;NACCO Industries;$17,500
James M Inhofe;General Dynamics;$25,000
James M Inhofe;Murray Energy;$20,500
James M Inhofe;Common Values PAC;$20,000
James M Inhofe;Exxon Mobil;$20,000
James M Inhofe;Fund for a Conservative Future;$20,000
Johnny Isakson;Home Depot;$183,250
Johnny Isakson;Votesane PAC;$182,700
Johnny Isakson;Southern Co;$90,050
Johnny Isakson;United Parcel Service;$78,650
Johnny Isakson;Primerica Inc;$74,550
Darrell Issa;Ernst & Young;$10,000
Darrell Issa;Majority Cmte PAC;$10,000
Darrell Issa;Sempra Energy;$8,750
Darrell Issa;Emergent Biosolutions;$7,900
Darrell Issa;Amazon.com;$7,700
Sheila Jackson Lee;Air Line Pilots Assn;$10,000
Sheila Jackson Lee;American Assn for Justice;$10,000
Sheila Jackson Lee;American Federation of State/Cnty/Munic Employees;$10,000
Sheila Jackson Lee;Anheuser-Busch InBev;$10,000
Sheila Jackson Lee;Communications Workers of America;$10,000
Pramila Jayapal;Valve Corp;$30,200
Pramila Jayapal;Microsoft Corp;$28,815
Pramila Jayapal;University of Washington;$28,238
Pramila Jayapal;Second Avenue Partners;$17,200
Pramila Jayapal;Burke Museum of Natural History;$16,200
Hakeem Jeffries;Paul, Weiss et al;$99,053
Hakeem Jeffries;Sullivan & Cromwell;$21,900
Hakeem Jeffries;American Airlines Group;$20,700
Hakeem Jeffries;NorPAC;$14,820
Hakeem Jeffries;Quinn, Emanuel et al;$14,400
Evan Jenkins;Cline Group;$21,600
Evan Jenkins;Radiology Inc;$17,050
Evan Jenkins;Steptoe & Johnson;$16,950
Evan Jenkins;Brickstreet Insurance;$10,800
Evan Jenkins;Northrop Grumman;$8,500
Lynn Jenkins;Keeping America Competitive PAC;$5,000
Lynn Jenkins;Believe in Life Liberty Yourself;$2,500
Lynn Jenkins;American Health Care Assn;$1,000
Bill Johnson;Bates Amusements;$14,976
Bill Johnson;Murray Energy;$13,390
Bill Johnson;American Bankers Assn;$11,500
Bill Johnson;Boich Companies;$10,800
Bill Johnson;Dwight Shugert Farms;$10,800
Eddie Bernice Johnson;Jacobs Engineering Group;$10,500
Eddie Bernice Johnson;American Society of Anesthesiologists;$10,000
Eddie Bernice Johnson;AT&T Inc;$10,000
Eddie Bernice Johnson;Laborers Union;$10,000
Eddie Bernice Johnson;Lockheed Martin;$10,000
Hank Johnson;Sheet Metal, Air, Rail & Transportation Union;$11,500
Hank Johnson;AFLAC Inc;$10,000
Hank Johnson;American Assn for Justice;$10,000
Hank Johnson;American Crystal Sugar;$10,000
Hank Johnson;Charter Communications;$10,000
Mike Johnson;House Freedom Fund;$30,085
Mike Johnson;Willis-Knighton Health System;$19,000
Mike Johnson;Morris & Dickson;$13,500
Mike Johnson;Ima Inc;$12,700
Mike Johnson;American Ethane Co;$12,200
Ron Johnson;Club for Growth;$525,533
Ron Johnson;Northwestern Mutual;$100,910
Ron Johnson;Foley & Lardner;$68,775
Ron Johnson;Abc Supply;$64,406
Ron Johnson;Advocate Aurora Health;$55,330
Sam Johnson;Small Individual Contributions (< $200);$290
Sam Johnson;Large Individual Contributions;$0
Sam Johnson;PAC Contributions*;$0
Sam Johnson;Candidate self-financing;$0
Sam Johnson;Other;$970
Brenda Jones;JPMorgan Chase & Co;$10,000
Brenda Jones;Sterling Group;$7,500
Brenda Jones;Miller Law Firm;$5,500
Brenda Jones;Greater Detroit Baptist Assn;$5,400
Brenda Jones;Nelson Ventures;$5,400
Doug Jones;Alphabet Inc;$156,412
Doug Jones;University of Alabama;$135,069
Doug Jones;University of California;$126,069
Doug Jones;Sullivan & Cromwell;$72,946
Doug Jones;AT&T Inc;$55,099
Walter B Jones Jr.;Votesane PAC;$110,875
Walter B Jones Jr.;Ward & Smith;$12,275
Walter B Jones Jr.;Captive-Aire Inc;$10,600
Walter B Jones Jr.;American Assn for Justice;$10,000
Walter B Jones Jr.;National Assn of Realtors;$10,000
Jim Jordan;House Freedom Fund;$38,050
Jim Jordan;Alphabet Inc;$11,000
Jim Jordan;Lakeview Farms;$10,800
Jim Jordan;American Dental Assn;$10,000
Jim Jordan;American Kidney Stone Management;$10,000
David P Joyce;Health Carousel;$27,000
